article_id	key	status	count	channel_uid	updated_at	local_path	detail
05847cc6-2c9a-431b-8ac4-bb1d9e42c4de	[077]	done	13	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:37Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[077]替换心脏来医治.md	
793aac53-c204-4d17-bab5-c8be0f286ef6	[078]	done	21	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:42Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[078].md	
e63bafd7-d9fa-46cf-a0be-9ececaa23ae7	[079]	done	95	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:53Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[079]所谓血 所谓风.md	
e4f91b92-2472-4deb-8431-8daa6b0530a7	[084]	done	27	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:17:58Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[084]一种见解主张.md	
79d71261-1fd5-4789-ab33-3d0dc6b62494	[085]	done	10	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:03Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[085]塔与塔屋.md	
c7b4c69b-e3f6-4254-976d-853895685b38	[090]	done	21	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:08Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[090]依处与食素.md	
c04ddfe4-1046-4176-af22-27ca2cbe7f0b	[091]	done	25	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:13Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[091]另一种解说方式.md	
4fe0a596-a24f-42bd-a980-bb87c093cbec	[093]	done	18	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:17Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[093] 果喻语.md	
02ba82b1-11f7-4d29-95fc-6224fb9448a2	[099]	done	37	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:23Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[099] 20. 身表.md	
8182eb1b-6f70-4826-b96a-6e0417fb8d5a	[102]	done	10	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:28Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[102]眼所识 意所识.md	
d60c71fe-c167-4153-8193-065b3a33308e	[103]	done	6	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:31Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[103].md	
e7c5ebb0-b8a5-4f21-8fa0-ce5a878ffd62	[103b]	done	43	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:37Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[103b].md	
b03aa398-eea2-421e-8bdf-b2c9fb8fb134	[105]	done	9	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:42Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[105] 21. 语表.md	
4e1a433e-30fe-4abe-acbe-55e881b4fbae	[107]	done	23	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:47Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[107]所谓语音差别.md	
6ca6a534-cf7d-4ff6-a7d0-52026b4b6742	[107b]	done	29	73c03e1a-f333-11f0-808a-438f0af4b9e9	2026-08-12T14:18:53Z	vol_4/chinese/[010]色（28）法 = 色蕴论章/[107b]表的摩触.md	
