khemaka	安稳
savibhatti	连同变格标志
cakkavattī	转法王
upasampadāpekkha	达上候选人
Himavant	雪山
sabbaññutā	一切知
sāvatthiya	沙瓦提城
āneñjasappāyasutta	《不动安稳经》
Visuddhi	《清净道论》
sūkarakhataleṇa	猪掘窟
pañcaṅgavippahīna	舍断五支
kocchaka	草编椅
ñāṇa sampayutta citta	智相应心
licchavirāja	离差维王
uddhaccasahaga moha	掉举俱痴
samādānavirati	受持离
ahetukacitta	无因心
kamavacara upacāra jhāna javana	欲界近行禅那速行
Mahāsatipatthāna Sutta	《大念处经》
imp@inst	工具格作方式状语
purohita	国师
anantarūpanissayapaccaya	无间亲依止缘
desanābheda	教导的区别
sabbaññuñāṇa	一切知智
sampattirasa	效果影响
belaṭṭhasīsa	贝叻特西思
mahāniddesa	大义释
visuddhibrahmāna	清静梵天
Kammavipāka	业异熟
paṭhamacatukka	第一组四法
ca	且
bala	力
gotamī	果德弥
cūḷasamudda	小海
dhātukammaṭṭhāna	界业处
sundarasamudda	妙海
kasiņa paṭibhāganimitta	遍似相
kriyāmaya citta	唯作心
pañhāvāra	答分
DIS-P	主➡系(被动)
sabhāvalakkhaṇa	自性相
m	阳性
Kassaka	伽沙伽
mahāthera	大长老
paññatta	制定
candabhāga	瞻达帕格
ekaggatā	一境性
bahudhā	多层
sīlakathā	戒论
pārāyanika	帕拉亚尼卡
gahaṭṭhasīla	在家戒
kotapabbatavihara	哥达山寺
kusalakhandha	善蕴
pokkharasāti	波伽罗沙提
ārakkhagocara	守护行处
vimāna	天宫
sampayuttaka	相应的
kaṇḍa	甘德
bhaddasāla	壮美的娑罗树
tadadhimuttatā	彼胜解
Mijjhima-Com	中部-义注
phusanā	接触
saṅghaṭṭana rasa	撞击作用
nemindhara	持边山
muñjapādukā	萱草鞋
micchādiṭṭhi	邪见
Udakaṃ apāyi	喝了水
arūpadhamma	非色法
khuddaanukhuddaka	细之又细
sabhāvalakkhaṇa	自性相
jambunada	阎浮檀金
paccayasannissitasīla	资具依止戒
uṇṇabhisi	皮毛垫
anulomapaṭiccasamuppāda	顺序缘起
parittārammaṇa	小所缘
kuḷīrapādaka	蹄腿床
paṭṭuṇṇadesa	帕图那国
vimuttiñāṇadassana	解脱智见
kasiņa paṭibhāganimitta	遍似相
petavatthu	亡灵的故事
upacārasīmā	近行界
āroha	自大
nissayapaccayaniddesa	依止缘广释
uggahanimitta	取相
kālakañjika	黑堪吉咖
āṭānāṭanagara	鸟巢城
rāhulakumāra	拉胡勒童子
pabbajita	出家者
pahīnakilesa	烦恼的舍断者
gen	属格
hirika	惭
kāmacchanda nīvaraṇa	欲欲盖
gocara	区域
paṭiccasamuppanna	缘生
niyāmāvakkanti	决定入流
buddhānussati kammaṭṭhāna	佛随念业处
ajjhāsaya	意乐
mataja	死生之刃
samādhisutta	定经
āpattidesanā	忏悔罪过
pūtimukha	普提木卡蛇
Mahā assapura Sutta	大马邑经
saccādesanā naya	谛说法
saṃyuttaṭṭhakathā	相应部义注
Padumuttara Buddha	胜莲花佛
Satataṃ	持续
catta	舍弃
[paṭiccasamuppāda	缘起
paripucchakathā	遍问
sappāṭihāriya	有出离
āsayānusayañāṇa	有情意乐随眠智
pubbenivāsa	宿住
niruttipaṭisambhidā	辞辨析
tāvatiṃsabhavana	三十三天
suttantapiṭaka	经藏
COI gen	名词
uppajjanti	生起
sattasaññā	有情想
satta	有情
arahata	阿拉汉
desanāñāṇa	宣说智
sahetukahetu	有因之因
lokantarikaniraya	世界间地狱
uddhacca kukkucca nīvaraṇa	掉举恶作盖
codanā	质问
AOV	受动者➡动词
therīapadānapāḷi	长老尼传记
atthipaccaya	有缘
pāveyya	巴韦亚
kururāja	古卢王
alobha	无贪
dhammasaṅgaṇī-anuṭīkā	法集·随复注
sālavana	娑罗树林
Kapila	迦毗罗
kosambakakkhandhaka	《高赏比篇章》
adhisīlasikkhā	增上戒
nipaka	成熟
yāthāvasarasa	如实的自味
kuñjara	昆嘉拉
atthaññū	知义
vicikicchānīvaraṇa	疑盖
ñattidosa	提案的过失
anomadassī	高见佛
pamādakāraṇa	放逸之因
paṭṭhānapāḷi	24缘
dutiya chakka	第二组六法
sammāsamādhi	正定
Cūḷavagga	小品
saññāviggaha	以想分析
ṭhapetvā	除了
sātarūpa	悦色
upāsikā	近事女
paññattivajja	制定罪
Pharaņā pīti	遍满喜
cāgānussati	舍随念
bhāvanāsaññā	修习想
adhipatipaccayena	作为增上缘
nāma loka	名世间
paṭiccasamuppādadhamma	缘起法
pārājika	败退
pakkhikabhatta	半月食
sammādiṭṭhi ñāṇa paññā	正见智慧
nīvaraṇavippayutta	盖不相应
khattiya	刹帝利
hadayavatthu	心所依处
utuja-oja	时节生食素
kalāpā	色聚
virāgānupassanī	离贪随观者
Sarabhaṅga	沙拉邦迦
အစွမ်းဖြင့်	方式状语
vimānavatthupāḷi	天宫故事
thina middha nīvaraṇa	昏沉睡眠盖
suvaṇṇahaṃsarāja	黄金鹅王
samādāyaṁ cittaṁ	令心安住
kāmāvacarakusalacetanā	欲界善思
kāyadvāra	身门
chakkanipāta	六集
aniṭṭhārammaṇa	不可喜所缘
kaṇṭhaja	喉音
vuṭṭhavāsa	修行的生活者
anatirittabhojana	足食
kakuṭapāda	鸽足
phalasamāpattikathā	果定论
kuṇḍalī	戴耳环者
paccupaṭṭhāna	现起
Visākha	韦沙卡
paṭipatti	行道
vikālabhojana	非时食
kāmavacara samadhi	欲界定
erakapatto	香蒲叶
puṇṇā	本娜
sosika	肺痨者
suppa	簸箕
cūḷasubhaddā	小善贤
paṇīta	殊胜
Mahāsammata	大选王
ekārakkha	自我防护者
kathinasamuṭṭhāna	卡提那等起
vepacitti	韦巴吉帝
navakanipāta	九集
karaṇakosalla	作善巧
jarā dukkha	老苦
saddhindare	信力
saṅghakamma	僧团甘马
vipākakathā	果报论
paṇṇatti	概念
dhammasaṅgaṇīpāḷi	法集
sabhiyasuttaṃ	露天经
viññāṇañcāyatana	识无边处
kuṭaja	水梅
kaṅkhā	疑
kāmarāga	染污的感官之乐
Mahāparinibbāna Sutta	《大般涅槃经》
mahāvedallasutta	毘陀羅大經
pupphāsava	花酒
pañcadvārāvajjana	五门转向
vāsi	锛子
upasāḷakajātaka	《伍巴萨喇格本生》
majjhimanikāya aṭṭhakathā	中部义注
bhikkhunisīla	比库尼戒
palibodha	障碍
paṭisambhidāMagga	无碍解道
Vaggahaṇena	va字的意思是：
muñcana	释放
parakkamadhātu	勇猛界
kammañña	适业的
piṇḍola	乞食
dhammābhisamaya	法现观
veḷuvana	竹林
piyaṅkara	毗言咖拉
puññaphala	福果
kāye	于身
pubbabhāgapaṭivedha	前分通达
sutta	经
appanā jhāna javana	安止禅速行
kammaṭṭhāna	业处
tivaṭṭa	三轮转
anāthapiṇḍika mahāseṭṭhi	给孤独大富翁
pañcapakaraṇa	五论
āpatti	罪
niravasesadāna	无残余施
kāmūpadhi	欲执
ṭhapanānaya	安置法
utuja ojaṭṭhamaka rūpa	时节生食素为第八的色
jātakapāḷi	本生
usabha	伍萨跋尺
utuja ojaṭṭhamaka rūpakalāpa	时节生食素为第八的色聚
samathanimitta	止相
paṭisambhidāMagga	无碍解道
ājīvapārisuddhisīla	活命清净戒
addhāpaccuppanna	一世现在
adhimutta	意图
kappina	咖比那
ājabhaṭa	国家公务员
navattabba dhammārammaṇa	不可言说的法所缘
haritaca	金肤
agāriya	户主
gandhakumāra	香童子
parittadhamma	小法
udayabbayañāṇa	生灭智
accutappatta	已到达永恒的平静者
paṭighānusaya	嗔恚随眠
manasa	意识
saṅkhārapaccaya	行缘
kammajavāta	业生风
diṭṭhi gāha	见执
mohacarita	痴型
dakkhinavibhaṅgasutta	《供奉分别经》
kisāgotamī	消瘦的果德弥
mahākāla	大黑
hetupaccayaniddesa	因缘广释
