khemaka	安稳
ārammaṇūpanijjhāna	所缘近思禅
muñcana	释放
abhisaṅkhatasaṅkhāra	已作行
vivarāhi	揭示
āvuso	朋友
bhavarāga	有上的爱染
catuppadehī	四足者
dhammānusārī	随法行
kāpilavattha	迦毗罗卫城
ānāpānapabba	入出息部分
uddhaṃsota	上流者
bimbisāramahārāja	频婆娑罗王
anidassanasappaṭigha	无见有对
dhammānusārī	随法行
kāyaviññāṇadhātuya	身识界
rasārāma	舌欢喜于味（喜味）
isipatana	仙人落处
aggaññasutta	《知源经》
asekhamuni	无学牟尼
upapāramī	殊胜巴拉密
nagarakathā	城市论
vaccakuṭivatta	厕所行仪
cūḷasumano	小善意
kuṇḍadhāna‌vana	爆谷林
diṭṭhikantāra	主见的险恶
diṭṭhigata	主见的偏颇
mātikā	大纲
ānāpānassatikammaṭṭhāna	入出息念业处
taṃ kāyaṃ anupassati	随观彼身
yamarāja	阎魔王
āsīvisopamasutta	《蛇喻经》
t hapanā naya	安止法
sakyagotama	释迦果德玛
ကုန်	复数
samatikkami	超越
kammabyatihāra	互为受动者
byatirekappadhāna	否定前缀
aññathattaṁ	住
vipassanācitta	观照之心
sārammaṇa dhamma	有所缘法
sammutisaṅgha	认定僧
NID	待命名➡命名
māna	慢
chandādhipati	欲增上
iriyāpatha	威仪
ārammaṇūpanissaya	所缘强依止
vipassanā manodvārika javana vīthi	观意门速行心路
jātidukkha	生苦
yakkha	被祭的神灵
petaloka	鬼界
samathabhāvana citta	修止心
kimattha	什么含义
sūriyakumāra	日童子
therāpadāna	长老传记
aggāḷavī	至上阿拉威
vibhattivipallāsa	非常规变格
subhāvita	已善修习
Hiṅgulaka	朱砂
kammavāca	甘马语
ugganagara	伍嘎城
samatha kammaṭṭhāna	止业处
upanissaya satti	亲依止力
sīlasampanna	具戒者
anusahagata	剩余
abyākatadhamma	不定性之法
yugamattadassana	目视一寻之距
sāsavakusalākusala	有漏的善不善（法）
sappaṭigha	有对的
cūḷavaggādi-aṭṭhakathā	小品等·义注
nāmarūpokāsa	名色域
āgatāgama	通晓阿含者
gatapaccāgatavatta	往返义务
āyatanayamaka	处双论
rūpavitakka	色寻
samādhāna	定
ariya magga	圣道
isipatana	仙人落处
anidassanāppaṭigha	无见无对
dhanañcaya	聚财
mātaṅga	马汤格
samathakammaṭṭhāna	止业处
karīsa	亩
diṭṭhigahana	主见的错杂复杂
kharadāṭhika	利齿
vipassanāpīti	观喜
mahāvagga	大品
dhammapadavaṇṇanā	法句经义注
khādanīya	副食
sutamayāpañña	闻所成慧
kaṇṇamalaharaṇī	掏耳勺
pesakāradhītā	织工女儿
sammādiṭṭhisutta	正见经
kammaṭṭhānābhinivesa	安置业处
paccayapariggaha	缘摄受
abhikkanta	奇哉
sa​​mbhavo	起源
cālikā	查力卡
aniccānupassanā ñāņa	无常随观智
puṇṇacandasassirika	满月般美妙
satisampajañña	念与正知
nāmakalāpa	名聚
pariyattisaddhammappatirūpaka	貌似教理正法
vibhava	无有
buddhānussati	佛随念
pūjāvacana	敬语
upanissaya satti	亲依止力
vāri	瓦瑞
māḷaka	凉亭
anumodaka	随喜者
añchāmīti	在拉
idappaccaya	此缘
attabhāva	自体
pakati nimitta	自然相
rūpārūparāga	色贪无色贪
kamalapādukā	睡莲鞋
kusalakamma	善业
yuvarājā	太子
attadiṭṭhi	我见
dukkha domanassa vedanā	苦、忧受
nipphannarūpa	完成色
veramaṇī	远离
ubbarī	伍拔莉
nekkhamma	出离
hatthimāraka	捕象师
nāgamaṇḍala	龙结界咒
uttarakuru	北俱卢洲
Samatha yānika	止行者
adhimokkha	胜解
vimutta	解放
karuṇāvihārī	悲住者
ānāpāna uggahanimitta	入出息取相
dhūmanetta	烟囱
viriya	精进
abhinivesaparāmāsa	黏着执着
dosamūla	嗔根
veda	吠陀
boddhisatta	菩萨
Cūḷavagga	小品
yuganaddha	轭结缚
DEF-eva	条件状语
dovārika	城门校尉
garuḷasakuṇa	金翅鸟
khippābhiññā puggala	速通达者
kathinacīvara	卡提那衣
vivarāhi	揭示
abhinavaṭīkā	新复註
kammaphala	业果
rājamuddikā	国王印戒
nipuṇā	成就的
anupassana ñāṇa	随观智
phalasamāpatti	果定
sammasana ñāṇa	思惟智
niruttipaṭisambhidā	辞辨析
nānācittakkhaṇa	不同心识刹那
STC	时空连续 ➡ 持续动作
passive verb	被动动词
rassaṃ	短
Sammohavinodanī	《迷惑冰消》
bhikkhupātimokkha	比库巴蒂摩卡
aṭṭhamahāvipāka	八大果报
anantarā	紧随
bodhiyaṅgaṇa	菩提树院
DASO-S	表语➡系动词
samadha nimitta	止禅相
sayambhū ñāṇa	自证智
tālavaṇṭa	棕榈扇
ciṇṇacaraṇa	高尚行为的实践者
dīghanikāya	长部
appaṇihitamūlakapaṭipada	以无愿为根本的[四种]行道
nāma paramaṭṭha	名究竟
PRE-T	时间优先
garahadinna	予呵责
bhāvanāpayoga	修习加行
gaṅgodaka	恒河水
anīvaraṇiya	非顺盖
koṭṭhagga	入仓最先施
catutthajjhāna	第四禅
tatiyajjhānakathā	第三禅论
lakkhaṇamanta	佛的特征
dosacarita	瞋型
asubhajjhāna	不净禅
kāyagatāsati	身至念
nimittattha	目的状语
katthaci	在某处
သာဓကကား	例如
kūlupagata	固定居家受供（之比库）
antagata	已去往边际者
ayonisomanasikāra	不如理作意
Dīpankarā	燃灯
sahayoga	连带关系
jātakānī	本生故事
dvihetuka	二因的
gamanavīthi	应行之道
cakkaratana	轮宝
assasāmīti	在入息
lāyanagga	收割最先施
ကြောင်း	凭借
campā	瞻波城
gatinimitta	趣相
animittavipassanā	无相观
iti	如此
piṅgala	赤瞳
upādāniya	可被执取的
ṭhapanā	住
vimuttikkhandha	解脱蕴
kammabhāva	业有
Vedanānupassanā	受随观
paccayabhāva	緣起狀態
daṭṭhabba	留意
kuṇḍikā	壶
Paṭisambhidā magga	无碍解道
sampadānavacana	目的格
maggapaccaya	道缘
kiriya	唯作
lokiyadhamma	世间法
kāyaviññatti	身表
kaṇṇamalaharaṇī	掏耳勺
manomaya	意所造
suvimuttapañña	慧善解脱者
nīvaraṇasampayutta	盖相应
pañcasālā	五堂
alaṅkārabhaṇḍaka	装饰用具
kammaphala	业果
yaṭṭhi	杆
adhicitta sikkhā	增上心学
Cūḷa anāthapiṇḍika	小给孤独
sasantatipatita utusamuṭṭhāna	内在相续的时节转起
vipariṇāmadukkha	变易苦
samucchedavirati	正断离
ariya phala	圣果
sīlabbataparāmāsa	戒禁取
patiṭṭhānarasa	支持作用
adhipaññā sikkhā	增上慧学
sekhamuni	有学牟尼
sīdantara	沉中
ānāpānassati bhāvanā	入出息念修习
saviññāṇaka	有意识的
gaṇikā	妓女
sabbaññū	一切知者
saṃsāra	轮回
SV	施动者
kammasamuṭṭhānarūpa	业生色
abhibhāyatana	胜处
upekkhābyūhana	舍增
aṭṭhakanipāta	八集
paṇḍukambalasilā	红毯石座
satisīsa	以念为首
dhura dhamma	根本之法
bhavantara	他有
verb phrase	动词
saṃyojana	结
campātherī	瞻波长老尼
asaññabhava	无想有
dukkhasamudaya	苦集
andhaka	安达格
asubha kammaṭṭhāna	不净业处
mahārāhulovādasutta	教诫拉胡喇大经
Milinda pañha	弥林达问经
tadekaṭṭha	与之相关的
kāṇā	咖娜
sukhindriya	乐根
bhagavanta	世尊
ācayagāmina	去到聚集者或令去到聚集者
paṭibhāga	相似
ajjhattārammaṇattika	内所缘三法
niddhāraṇa	范围定语
avīcimahāniraya	无间大地狱
Catukkanipāta	四集
tebhūmakakiriya	三種生存地的行为
asaññī	无想的
abhisambodhi	现正觉
sabbaññutā	一切知
meraya	发酵酒
adhipaññā	增上慧
avūpasama	不寂静
upasāḷaka	伍巴萨喇格
cittānuparivatti	心随转
upanāha	怨恨
sokaparideva	愁悲
upasampanna	达上
အပ်	应该
Suddha  vipassanā yānika	纯观行者
rupāvacara jhāna	色界禅那
samudayasacca	集谛
apāyadukkha	恶趣苦
sabbaññusammāsambuddha	一切知的正自觉佛
တို့	复数
anākula	避免混乱
inst imp	动词
samuddakkhāyikakathā	大海起源论
kikī	科里
တို့	复数
vinayapiṭaka	律藏
duggati bhava	恶趣生
nimittattha	目的状语
pakatisīla	自然戒
saṅgha	僧团
vimāna	天宫
saccā	谛
celapaṭika	布垫
manodvārika javana	意门转向
dandhābhiñña	迟通达
vāda	辩论
saṅgayana-puccha vissajjanā majjhimanikāya	结集问答 中部
mahaka	马哈咖
jhānakammika puggala	禅那行者
māgaṇḍiyasutta	《摩犍提经》
dvāra	门
paṭiccasamuppādavibhaṅga	缘起分别
suvajātaka	《鹦鹉本生》
mahānāma	大名
natthikadiṭṭhi	虚无论的见解
rasapathavī	地味
maggabrahmacariya	道梵行
ñattiṭṭhapaka	动议提出者
pabbatakathā	山岳论
vuddhipārihānivītivatta	已超越增益和损减
majjhattatā	中庸
samuṭṭhāpeti	等起
bahubhāṇijātaka	《多嘴本生》
bhasta	皮包
akusaladhamma	不善法
odāta kasiṇa	白遍
akaniṭṭha	色究竟
sammattaniyata	正性定
bhagavanta	世尊
ajapālanigrodha	牧羊人的榕树
sammāpayoga	正加行
soṇakoḷivisa	索那寇利维萨
bhayatupaṭṭhānañāṇa	怖畏现起智
Assaji	阿沙基
uttaravinicchaya-ṭīkā	上裁定·复注
ariyasāvikā	圣弟子
viharati	住
āṇākhetta	威令刹土
phoṭṭhabbārāma	欢喜于触（喜触）
kesamuttiya	发解村
anantarapaccaya satti	无间缘力
maggo bhāvitaṃbhāvitaṃ	[苦灭之]道已被修习
saññī	有想的
Pātimokkha	巴帝牟卡
jīvitanavaka	命为第九的
parivīmaṃsanasutta	审虑经
rūpakalāpa	色聚
vibhāgattha	分类的含义
āhārasamuṭṭhāna	食等起
abhayappatta	已达到无畏者
āruppa	无色
ṭhitibhāgiya	住分
khayavirāga	消亡离贪
dīghakārāyana	长作行
sīla	戒
saddhādeyyavinipātana	虚耗信施
kaṭacchu	汤勺
manosamphassa	意触
bhuddha	佛陀
viddhaṃsābhāva	灭性
vibhaja	剖析
ārammaṇapaccaya satti	所缘缘力
mūlaphala	球根
aṅgulimālasutta	指鬘经
marupapāta	坠入神圣的深渊
utuja ojaṭṭhamaka rūpa	时节生食素为第八的色
sahagatacitta	俱行心
abhisaṅkharaṇa	行作
paccavekkhaṇā javana	省察速行
rathareṇu	尘埃
purisa	男子
udakapuñchanī	擦水巾
samānādhikaraṇa	同位语
taṇhā	渴爱
parikappana	遍计
uḷāraguṇa	广受赞誉
citta samuṭṭhāna	由心而生
añjanisalākā	涂药棒
kālāvaka	普通
vipakkhasevaka	结交敌人的
koseyya	茧丝
sāratthappakāsinī	阐明心义
kuṭikā	孤邸
parāmāsavippayutta	执不相应
abhisaṅkhāra	积聚
anārammaṇadhamma	无所缘法
upacārasamādhi	近行定
ābhā	光辉
dutiya jhāna samāpatti	入第二禅定
brahmapārisajja	梵众天
cittapāṭalī	杂色猫尾木
kasiṇukkantika	跳遍
sabbaññu	一切知
kaṇikārapuppha	黄花羊蹄甲花
paritta dhamma	小法
tiracchānagata	畜生
kāraṇa	原因
puñña	福
jīvi	生类
rupāvacara jhāna javana	色界禅那速行
ghaṭa	罐
āneñjappatta	不动摇
ṭhapanā naya	安住法
rupāvacara jhāna	色界禅那
cakkhu pasāda dhātu	眼净界
uccavālika	高沙
visaññutta	解去枷锁者
saha	同时
rūpadhamma	色法
ganthavippayutta	系不相应
Paramatta	帕拉马达
vibhaṅga	分别
visuddhimaggamahāṭīkā	清净之道大疏钞
pattha	巴塔
mahāsaṅghika	大众部
vikālabhojana	非时食
sukhaṁ viharissāma	我们将乐住
kaliṅgarāja	迦陵伽国王
saṅkhāradhamma	行法
pakkhapaṇḍaka	半月潘达咖
anuppādanirodha	不生灭尽
upāhanadaṇḍaka	鞋柄
viriyārambhakathā	精进论
abhāva	不存在
nānattanaya	不同性理
kattika	昂宿月
kammaniya	适业
leṇagata	已去往安全者
bhavacakka	有轮
theyyāvahāra	偷取
abhidhammaṭṭhakathāya	阿毗达磨义注
iriyāpatha	威仪
paṭivedhañāṇa	通达智
visuddhibrahma	清静梵
dukkhānupassanā	苦随观
hi	因为
kuṭikā	孤邸
nikkamadhātu	出离界
dhātuparinibbāna	舍利般涅槃
saṅkhārapaccaya	行缘
cora	贼人
atītārammaṇattika	过去所缘三法
upādinna	执取的
Nipāta	集
kāya saṅkhāra	身行
diṭṭhinijjhānakkha	静虑后认可的见解
ādikammika appana javana	最初安止速行
Visuddhi Magga	《清净之道》
uttarāpa	水北
fpp	未来被动分词
uggaha	学取
kattā	施动者
sammappadhāna	正勤
kāyasañcetanā	身思
num	数词
indriyapaccaya	根缘
pañcasīla	五戒
parivārapāḷi	附随
tikanipāta-ṭīkā	增三·复注
parinibbāyī	般涅槃
adhigamasaddhamma	证正法
ဖြင့်	方式状语
bhājanabhaṇḍaka	餐具
bhaṅgānupassanāñāṇa	频观坏灭智
paccekabuddhabodhi	独觉佛菩提
Sāvatthi	沙瓦提
maṇḍala	大块
lavaṅga	丁香
Yugandhara	持双山
pariyosānakalyāṇa	后善
sandiṭṭhi	亲见
dvipādakehī	二足者
titthiya	外道
aniṭṭhārammaṇa	不可喜所缘
cūḷapanthakatthera	小路生长老
Dīghanikāya	长部
vikkhambhanapahāna	镇伏断
pabbajapādukā	灯心草鞋
sammutibrahmāna	选定梵天
sato ca sampajāno	念与正知
upacārajjhāna	近行禅
asammohasampajañña	无痴正知
bandhulakumāra	班图叻王子
paripucchā	遍问
ind	不变词
beluvapaṇḍuvīṇā	如熟象橘果般淡黄的维纳琴
pettivisaya	鬼界
appamāṇārammaṇa	无量所缘
garuḷa	金翅鸟
saññāvipariyesa	认知颠倒
licchavirājā	离差维诸王
voṭṭhabbana	确定
sarabhū	沙拉普
dānasīla	施戒
arūpina	非色蕴
sallakī	薰陆
arahantaghātaka	杀阿拉汉者
desanābheda	教导的区别
sineru	须弥山
upādāpaññatti	所造概念
assajitthera	阿薩基
vā	或
rājagaha	王舍城
dukkhasamudaya	苦集
upananda	伍巴难达
jantāgharavatta	浴室行仪
suttanipāta-aṭṭhakathā	经集·义注
pariccāgapaṭinissagga	遍舍舍
PUR verb phrase	动词
puthujjanakalyāṇaka	良善的凡夫
Adhicitta Sutta	增上心经
pādapīṭha	洗足台
anapanapa paṭibhāganimitta	入出息似相
sīlavata	清规戒律
rukkhamūlagato	前往树下
ānāpānapabba	入出息部分
vodāna	净化
sākiya	释迦族的
Ārammaṇasaṅgaha	摄所缘
vipassaka	修观
iriyāpatha  sappāya	姿势适宜
Rāhula	罗睺罗
byāpāra	努力
hetupaccaya	因缘
upacārajjhāna	近行禅
lāḷudāyi	黑伍达夷
aggasāvaka	上首弟子
chandasampayuttakānaṃ	欲相应诸法的
Mūlaṭīkā	根本复注
Upasampanno	已达上者
cattāvi	舍弃
nīvaraṇiya	顺盖
sīla	戒
asaṅkhyeyya	不可数劫
nāmarūpa	名色
kāsi	卡西
Sappabhāsaṁ cittaṁ	有光心
khandhakabhāṇakathera	篇章诵者长老
savitakka	有寻
gandhamādanapabbata	香醉山
pubbabhāgasatipaṭṭhāna	前分念处
Paṭisambhidā magga	无碍解道
Bhikkhu Sutta	比库经
samāpajjana	入定
sammāsambodhi ñāṇa	正自菩提智
pakiṇṇaka	杂
ucchedadiṭṭhi	断灭见
udāsīna	中舍
āvibhāvapāṭihāriya	显现神变
makaci	马卡其
manosañcetanā	意思
lokadhātu	世界
parikkhāra	必需品
ekanirodha	一起灭去
paṇava	蜂腰鼓
duccintitacintī	恶思维
nāvāvimāna	船天宫
iṭṭha	可喜的
vikāla	非时
rūpārūpa	色非色
aparacchā	阿巴拉查
visuddhimagga	清净之道
paramāṇu	极微
arahatta magga ñāņa	第四道智
anīgha	无苦难
padhānikatissa	精勤的帝思
DS-S	表-系
anācāra	不正当的行为
gati	趣
vatthukāma	desire for materiality
pañcaṅgasamannāgata	具足五支
cakkhu	眼
ṭhiti2	持续力
mudutā	柔软性
saṃkiṇṇaparikkha	关上护城河者
Mahā	大
anicca lakkhaṇa	无常相
bhaddavaggiya	卓越团
Visuddhi Magga Nissaya	清净之道逐词对译
missakavana	混合林
aparakāla	未来时
kāya samudaya	身集
vātavisa	风吹到就会中的毒
cittavāra	心转
makacivāka	枣椰树纤维
ñātikathā	亲戚论
nānappakārapaccayatā	缘之多样性
dvārakoṭṭha	门房
saddhamma	正法
ariya magga ñāņa	圣道智
samāhitapuggala sevanatā	亲近有定的人
arūpāvacara	无色界
suppa	簸箕
ārammaṇapaccay	所缘缘
kammañña	适业的
byūhana rasa	积聚作用
paramatthasacca	究竟谛
rupavacara javana	色界速行
vāḷabījanī	牦尾扇
parikammasamādhi	预作定
idappaccayatā	此缘性
bilaṅga	白花酸藤子
sunanda	善喜
abuddhavacana	非佛说
aṭṭhasamāpatti	八定
Paṭiccasamuppanna	缘所生
diṭṭhippatta	得见者
sakkāyasamudaya	有身（见之）集
aṭṭhasamāpatti	八定
anusāsani	谆谆教诲
punabbhava	再生
ñāṇasaṃvara	智防护
araññagato	前往林野
ariyamaggadhamma	圣道法
pariññāpāragu	苦遍知（一切苦的完全理解）
dhammaṭṭhiti	法住
antima	最终
vaṅgīsa	鹏耆舍
gaṅgeyya	恒河
mahācetiya	大塔
avikkhepa kicca	不散乱作用
sāvatthī	沙瓦提
jotika	周提科
kiṃsuka	甄叔迦
ukkhittapaligha	拔出门闩者
dānakathā	施论
ghaṭikārasutta	《陶师经》
gandhabba	甘塔巴
တနည်	此外
aṅguttaranikāya	增支部
paññācakkhu	慧眼
vālodakajātaka	寡水本生
phalapaccupaṭṭhāna	果现起
therāpadāna	长老传记
pārisuddhi upekkhā	遍净舍
သူ	……者，……的人
Suttantabhājanīya	经分析法
nāmarūpapariccheda	名色限定
mūlasikkhā	根本训练
sabbatthivādī	说一切有者
pādaka	基础
piṭaka	藏
thinamiddha nīvaraṇa	昏沉睡眠盖
pariññāpāragu	苦遍知（一切苦的完全理解）
paṭhamāruppaviññāṇa	第一无色识
vedalla	智得
Rasa	性质
byappanā	极安止
mahāpavāraṇadivasa	大邀请日
mahāhatthipadūpama	大象迹喻（经）
abhidhammatthasaṅgaha	高深法义集要
kammāvaraṇa	业障
ehibhikkhuupasampadā	善来比库达上
ñāṇasaṃvara	智防护
tathāgatabala	如来力
arūpāvacarajhāna	无色界禅
uttarimanussadhammapārājika	上人法巴拉基格
imp	动词命令式
bhāvarūpa	性根色
asaṅkhāra	无行
majjhatta	中庸
dhātukathāpāḷi	界论
pahātabbaṃ pahīnaṃ	应被舍断的已被舍断
gotamaka	果德玛
kammasambhāra	业的资粮
paṭṭhānappakaraṇa-aṭṭhakathā	众缘论·义注
maraṇa	死
aparamattha	非究竟法
kumbhaṭṭhānakathā	井边论
dukkhalakkhaṇa	苦相
vosānappatta	已到达圆满者
asamphuṭṭhadhātū	无法触及的元素
viriyindriya	精进根
hetugocchaka	因法之束
antevāsika	门生
atthanayā	义理
mahāmattakathā	大臣论
samuppāda	集起
kosajja	懈怠
khandhaka	犍度
kapilasutta	《咖毕叻经》
oghagocchaka	瀑流组
jeṭṭhamūlamāsa	偏尾宿心宿月
anupāda  dhamma vipassanā	逐一法观
သော်လည်း	多种可能
kumārakassapamātu	童子咖沙巴母
kuṇḍalakumāra	耳环童子
sumana	善意
rattiṭṭhāna	夜间住处
dandha gaṇana	慢慢数
dhura dhamma	根本之法
appaṇihita	无愿
bhāṇavāra	诵分
paduṭṭhacitta	心败坏
karavīka	郭公山
amādhisāra	定精要
phala ñāṇa	果智
dukkha sacca	苦圣谛
cetiyaṅgaṇavatta	佛塔四周空地义务
ugghātinighāti	胜利与失败
mettāsahagata	与慈俱行的
dasavagga	十人僧团
abhedabhedūpacā	以有异喻无异
yāvadeva	只
lapanā	攀缘
cakkhu pasāda	眼净色
gāmadhamma	行房
paccaya pariggaha	缘摄受
maggavagga	《道品》
pubbanimitta	预兆
tusitavimāna	喜足天的宫殿
pañcaṅgavippahīna	断除五盖者
jātivasa	出生的范畴
avicāra	无徘徊
avinibbhogarūpa	不离色
saṅkha	桑卡
yevāpanaka	不论何法
utusamuṭṭhānarūpa	时节所起色
suppāraka	苏帕拉格
sappitela	酥油
jātiyāvana	生林
sabbadhātu	一切词素
appaññatta	未制定
nirodha	灭
catumahāpadesa	四大引据
iṭṭhārammaṇa	可喜所缘
niggaha	抑制
doṇa	多纳
paññābhā	智慧之光
kikī	科里
nandopananda	难都巴难德
evaṃdhammatā	如是法性
payoga	加行
oghavippayutta	瀑流不相应
vivara	揭示
sāmañña lakkhaṇa	共性
dhātuvibhaṅga	界分别
tagarasikhī	答格勒西奇
amacca	大臣
khuddakamañcaka	小卧榻
citta niyāma	心之定律
samohacitta	有痴心
maññanā	思量
sappayoga	有加行
dhammahadayavibhaṅga	心分别法
accutagata	已去往永恒的平静者
dibbacakkhulābhī	天眼获得者
arūpīna	非色
khandasaṃyutta	蕴相应
vatthasutta	布喻经
pubbenivāsānussatiñāṇa	宿住随念智
gocara	区域
bhikkhu	比库
jāgaraṇa citta	醒觉心
kuṭhārī	砍刀
bhagavat	世尊
telanāḷi	油壶
iṭṭha	可喜的
kāmupādāna	欲取
anindriyabaddha	不被根束缚
micchādiṭṭhi	邪见
tāvakālikatā	瞬间性
eti	来
saññāviggaha	以想分析
diṭṭhadhamma	现在生
cittasaṃsaṭṭhasamuṭṭhāna	心相杂等起
ambu	盎布
DIO-P	双宾语<主要>➡动词
avikkhepa	不散乱
apaṇṇakajātaka	无谬误本生
nigaṇṭha	尼乾陀
mūlakammaṭṭhāna	根本业处
āsevanaguṇa	重复的特性
rāga	爱染
mahāavīci	大无间地狱
paṭiccasamuppāda desanā	缘起教法
paṭikkhepa	否定
tāvakālikatā paccavekkhaṇa	对瞬间性的省察
အဖို့၌	动机
nānāsaṃvāsaka	非共住者
samāpajjanavasī	入定自在
saṅgahavāra	集成篇
bhassa	谈论
rūpāvacara jhāna javana	色界禅那速行
paṭipassanā	遍观
Uposatha	布萨
asappāya	不适宜
diṭṭhasaṃsandana	见解的混合
namuci	那目基
maṇivimānāni	摩尼宫
anupaññatti	修订
kumbhajātaka	陶壶本生
āmisa pūjā	四资具供养
paduṭṭhacitta	心败坏
macala	马嘉拉
vitathatā	背离事实性
buddhavacana	佛语
vipassanādhura	观禅义务
atīte vaṭṭa mūlaka dukkha	基于过去轮回之苦
bapaṇṇidīpa	铜掌岛
kālāma	卡拉玛人
suññāgāragato	前往空闲处
upasampadākamma	达上甘马
saṅghabhatta	僧团食
dassanena pahātabba	见所断
assakaṇṇa	马耳山
anubhandhana naya	随息法
jhānasampayutta citta	禅那相应心
tisamuṭṭhānika	三种等起的
cittaja-oja	心生食素
ānāpānassati bhāvanā	入出息念修习
kāyadhātu	身界
ပါ	也
paṭicchannadukkha	隐痛之苦
ñātivitakka	亲属寻
dhammānudhammapaṭipatti	法随法行
nārāyana	璀璨宝钻
balava vipassanā	强观
itivuttaka	如是说
sotaviññeyya	耳所识
antevāsī	近住弟子
nirodhānupassanā	灭尽随观
mahāsaṅghika	大众部
paṇḍaka	无性者
parakkama dhātu	精进巴拉密
sukhadukkha	乐和苦
suddhavipassanā	干观
pāpuṇi	实现
diṭṭhinissita	见依著
āhārapaccaya	食缘
saṅkhata lakkhaṇa	有为相
anādara	让步状语
anāvāsa	非住处
ghosaka	宏音
vijjābhāgiyā	明分
parisuddhasīla	清净无暇的戒
nhāpita	理发师
bhikkhusutta	比库经
kosalaraṭṭha	高思勒国
vasabha	瓦萨婆
avitakkavicāramatta	无寻唯伺
kuṇḍa	衮德
dhammapaṭisambhida	法无碍解
asekkha	无学
sappadāsa	蛇仆
bhaddālisutta	跋达里经
anantarā	紧随
saññāpubbaṅgamatā	以想为先导
nerurāja	须弥山王
upanissaya	强依止
sallakkhaṇā	善标记
catuttha catukka	第四组四法
rūpāvacara	色界
ārammaṇa paṭiveda	所缘通达
upanissayapaccayasatti	亲依止缘力
anāgāmi magga	不来道
paṭisambhidāmagga	辨析道
saṃvegavatthu	悚惧事
arahantavagga	《阿拉汉品》
rasapathavī	地味
mallaputta	马喇子
bhavarāgasaṃyojana	有贪结
pubbabhāga paṭipadā	前分行道
koṭigata	已去往顶端者
ānāpāna paṭibhāganimitta	入出息似相
paññācakkhu	慧眼
adhamma	非法
asaṅkhata	无为
madhurapācikā	玛度拉帕吉咖
sukkhavipassaka	干观者
arahā	阿罗汉
ajjhattabahiddhārammaṇa	内外所缘
paṭippassambhati	安息
añjana	安迦那
samaṇa	沙门
API	也
amoha	无痴
satova	只念
caus	使役
āloka kasiṇa	光明遍
majjhattākāra	中立行相
iddhi	神变
dhammasaṅgaṇī-mūlaṭīkā	法集·根本复注
gocara sampajañña	行处正知
vinaya	律
Dhātuvibhanga Sutta	界分别经
samudayavayadhammānupassī	随观生灭之法
purindado	富兰陀罗
musala	杵
majjhattākāra	中立行相
kapparukkha	如愿树
iti	如此
vāra	界限
arahatta	阿拉汉
Bhikkhunī	比库尼
sambodhana	呼格
suruci	妙光
saṃghānussati	僧随念
ākiñcaññāyatana	无所有处
paccayapariggaha	缘摄受
cetasika saṅkhāra	心所行
sakyagotama	释迦果德玛
idha vā huraṃ vā	此世或它世
okāsavāra	地点小节
punabbasuka	本那拔苏格
puññaphala	福果
saddhācarita	信念型
anuloma	随顺
ekattā	同一性
sukhasāmaṇera	快乐沙马内勒
uttamapurisa	无上者
appanā jhāna vīthi	安止禅心路
cetiyaghara	洁地殿
phāṇita	糖蜜
rohitamaccha	鲑鱼
paṭiccasamuppāda	缘起
cetasika dukkha	心苦
nikkamadhātu	出离界
DEF	时间状语从句
bhāvanā manasikāra	修习作意
upanijjhāyana	省思
sabbakāyapaṭisaṃvedī	觉知全身
rūpaghana	色密集
sāḷika	啄木鸟
aṅguttaranikāya	增支部
dutiyacatukka	第二组四法
asubhakammaṭṭhāna	不净业处
viññāṇavādī	识论者
vejayanta	胜利殿
ariyasaṃgha	圣僧团
dullabha	难得
bahubbīhisamāsa	多财释复合词
anāvāsa	非住处
pāla	护
vikkhambhanavimutti	镇服解脱
kilesagocchaka	杂染组
Temiya	德米亚
saupādisesa	有余依
NIO	被描述(主)➡定性(表)
kvattha	什么作用
kāya dvāra vīthi	身门心路
saṅghādisesa	僧始终
paccuppannārammaṇa	现在所缘
pāsāṇakaṭāha	石缸
upacāra	近行
kusalamūla	善根
yathākammupaga	随业趣
patibhāganimitta	似相
appanā samādhi bhāvanā	安止定修习
parittārammaṇattika	微小所缘三法
phalāsava	果酒
catutthajjhāna samādhi	第四禅定
sahassavagga	《千品》
paṭivijjhitabba	应通达的
dasabala	十种力量者
ahetukapaṭisandhika	无因结生者
itthambhūtalakkhaṇa	这一类型的特质
udāsīna	中舍
bhaddekarattasutta	一夜贤者经
paṭisandhikkhaṇa	结生的刹那
pana	此外
navanīta	生酥
khadiravana	儿茶林
sobhanasādhāraṇa	通一切美心
licchavī	离差维人
samāpatti	等至
pahāna pariññā paññā	断遍知慧
appanābhāvanā	安止修习
kilesāvaraṇa	烦恼障
pañcapakaraṇa-aṭṭhakathā	五部论·义注
puṇṇamasutta	满月经
apariyāpannakusalahetu	出世间善因
vipākāvaraṇa	果报障
ငှာ	为了……
yoni	生
muttamuttaka	解脱能施者
vitakka	寻
puṇṇaka	本那
upādānāna	取
satulakāyī	萨杜叻咖伊
Jaṭila	髻发
campaka	素馨
samatha yānika	止行者
Pañhāvāra	问分
ārammaṇadhamma	所缘法
dhaññamāsa	米粒长
sahajātadhamm	俱生法
veroca	吠罗吒
cittakūṭa	吉德峰
တွင်	……中的
asurajeṭṭhaka	阿苏罗首领
maraṇāsannajavana	临终速行
vaḍḍhanābhūmi	培育地
