candidate	count	vol	first_seen	in	context
စာမျက်နှာ-၉၈၆-၉၈၇	1	vol_4	vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[000A]နိဒါနကထာ.md	()	<center>(တိပိဋက ပါဠိ-မြန်မာ အဘိဓာန်-က-ဝဂ်-အတွဲ-၆-စာမျက်နှာ-၉၈၆-၉၈၇။)</center> [**မှတ်
အ-၃-၁၄၇-၁၅၀	1	vol_4	vol_4/markdown/[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[317]ပကိဏ်း စေတသိက် အပိုင်း/[331]ကုသိတာရမ္ဘဝတ္ထု သုတ္တန်.md	()	ရဟန်းတို့ ...ကြိုးစားအားထုတ်ခြင်း လုံ့လဝီရိယ၏ အကြောင်းတို့သည် ဤ (၈)မျိုးတို့တည်း။ (အ-၃-၁၄၇-၁၅၀။) ဤတွင် **ကုသီတာရမ
စာပိုဒ်-၁၀၆၆	1	vol_4	vol_4/markdown/[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[346]အကုသိုလ်စေတသိက် (၁၄) လုံး အပိုင်း/[452]ပဒဋ္ဌာန် - အာဃာတဝတ္ထု(၉)ပါး,(၁၀)ပါး.md	()	ဤ (၁၀)ပါးသည် ရန်ငြိုးဖွဲ့ကြောင်း အာဃာတဝတ္ထု (၁၀)ပါး ဖြစ်သည်။ (အဘိ-၁-၂၁၆။ စာပိုဒ်-၁၀၆၆၊၊) **အဋ္ဌာနကောပ --
ပထမပိုင်း-၁၆၂-၁၆၃	1	vol_4	vol_4/markdown/[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[346]အကုသိုလ်စေတသိက် (၁၄) လုံး အပိုင်း/[512]ကိလေသာ အသေးအဖွဲ.md	()	ငါ့ရှင်အနုရုဒ္ဓါ ...တပည့်တော် တိုက်တွန်းတောင်းပန်စကား ပြောကြားလိုသည်မှာ --- အရှင်အနုရုဒ္ဓါသည် မိမိသန္တာန်၌ ဖြစ်ပွားနေသော မာန ဥဒ္ဓစ္စ သံသယ ကုက္ကုစ္စတရားတို့ကို ပယ်စွန့်၍ ဤတရားတို့ကို နှလုံးမသွင်းမူ၍ အမြိုက်နိဗ္ဗာန်ဓာတ်သို့ မိမိ၏စိတ်ကို ပို့ဆောင်စေချင်ပါသည် --- ဟူ၍ အရှင်သာရိပုတ္တရာကိုယ်တော်မြတ်ကြီးက ကမ္မဋ္ဌာန်းတရား ဟောကြားပေးတော်မူလေသည်။ <r>(မဟာဗုဒ္ဓဝင်-၆-ပထမပိုင်း-၁၆၂-၁၆၃။ အံ-ဋ္ဌ-၁-၁၅၀။ အံ-ဋ
မှ ၁၇၃	1	vol_4	vol_4/markdown/[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[522]သောဘဏစေတသိက် (၂၅) လုံး/[563]ကုသလမူလတရားတို့၏ မှတ်သားဖွယ်ရာများ.md	()	အဋ္ဌသာလိနီအဋ္ဌကထာ (၁၇၁ မှ ၁၇၃) တိုင်အောင် ကုသလမူလ
ဂါထာနံပါတ်-၁၁၃	1	vol_5	vol_5/markdown/[167]ဥဒယဗ္ဗယဉာဏ်ခန်း/[186] မြတ်သောအသက်ရှင်ခြင်း.md	()	သေယျော = မြတ်လှပါပေ၏။ (ဓမ္မပဒ၊၃၀။ ဂါထာနံပါတ်-၁၁၃။) ခန္ဓာငါးပါး ရုပ်
ရှိသော ရုပ်-၅၄	1	vol_5	vol_5/markdown/[167]ဥဒယဗ္ဗယဉာဏ်ခန်း/[197]a သမုဒယဓမ္မာနုပဿီပိုင်း - ဥဒယဒဿန = အဖြစ်သက်သက် ရှုနည်း/[205]b စက္ခုဝိညာဏ် - ဝေဒနာက္ခန္ဓာ၌ ဥဒယရှုပု.md	()	- ၆။ ဝတ္ထု (= စက္ခု၌ရှိသော ရုပ်-၅၄) ဖြစ်ခြင်းကြောင့် (
ဤအမှတ် ၁，၂	1	vol_5	vol_5/markdown/[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မသနဉာဏ်ခန်း/[131] ရူပသတ္တက ရှုနည်း/[134] အနတ္တ အခြင်းအရာ.md	()	- ၂။ ခန္ဓာအိမ်ကို ပိုင်ဆိုင်သည့် ပိုင်ရှင်ဖြစ်သူ တစ်စုံတစ်ယောက်သော သာမိအတ္တ၏ မရှိသည်၏ အဖြစ်ကြောင့်လည်းကောင်း (ဤအမှတ် ၁，၂ - စကားရပ်တို့ဖြင့်
ဤပုဒ်လည်း တော- ၄၀	1	vol_5	vol_5/markdown/[349]သင်္ခါရုပေက္ခာဉာဏ်ခန်း/[356] ဒွါစတ္တာလီသာ အာကာရ - သုညတာနုပဿနာ.md	()	**အာဒီနဝတော** = ရုပ်တရား၏ ဖြစ်ခြင်းသည် ရှိလတ်သော် အလုံးစုံသော အပြစ်စု အပြစ်ပုံကြီး = အာဒီနဝကို ရခြင်းကြောင့် ရုပ်တရားကို အပြစ်အစု အပြစ်အပုံ ရှိသော တရားဟု = အာဒီနဝဟု ရှုပါ။ (ဤပုဒ်လည်း တော- ၄၀ - တွင် ပါဝင်ပေသည်။)
ကို ဝိသုဒ္ဓိမဂ္ဂအဋ္ဌကထာ၊ ဒုတိယတွဲ၊ ၃၃၁-၃၃၂	1	vol_5	vol_5/markdown/[463]ဉာဏဒဿနဝိသုဒ္ဓိနိဒ္ဒေသ/[500] ဥပမာ ဥပမေယျ နှီးနှောချက်.md	[]	[ဤ - **သစ္စာလေးပါးကို တစ်ပြိုင်နက် သိပုံ အပိုင်း**ကို ဝိသုဒ္ဓိမဂ္ဂအဋ္ဌကထာ၊ ဒုတိယတွဲ၊ ၃၃၁-၃၃၂။ မဟာဋီကာ၊ ဒုတိယတွဲ၊
